took_pre_CC,took_post_CC,CCPre_ScientistsWhy_pre,CCPre_ScientistsWhether_pre,CCPre_Happening_pre,CCPre_Causes_pre,CCPre_Worried_pre,CCPre_ConsensusCause_pre,CCPre_Thought_pre,CCPost_Worried_post,CCPost_ScientistsWhy_post,CCPost_Validation_post,CCPost_ScientistsWhether_post,CCPost_Thought_post,CCPost_Causes_post,CCPost_ConsensusCause_post,CCPost_Happening_post,CCPost_ChangedMe_post
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Somewhat,StronglyAgree,StronglyAgree,SomewhatAgree,Some,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,EqualHumNat,Both,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Neither,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,DK,NotAtAll,Neither,Neither,Neither,Neither,Little,NatChange,Both,DK,Neither
1,0,,,YesSomeSure,,Somewhat,,,,,,,,,,,
1,1,StronglyAgree,SomewhatDisagree,YesExtrSure,EqualHumNat,Neither,Both,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Little,Very,Neither,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Humans,Some,NotAtAll,StronglyAgree,StronglyAgree,StronglyAgree,Some,Other,Natural,DK,StronglyDisagree
1,0,Neither,SomewhatDisagree,NoSomeSure,HumNat,NotVery,Humans,Little,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Both,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,DK,Some,Somewhat,Neither,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Both,Some,Very,SomewhatAgree,SomewhatAgree,Neither,Little,HumNat,Both,YesVerySure,SomewhatAgree
1,0,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesVerySure,EqualHumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,DK,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,DK,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
0,1,,,,,,,,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Both,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,EqualHumNat,Somewhat,Humans,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,Both,YesVerySure,SomewhatAgree
1,1,Neither,Neither,YesVerySure,HumNat,Neither,DK,Some,Somewhat,Neither,Neither,Neither,Little,EqualHumNat,Both,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,Both,YesVerySure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesSomeSure,EqualHumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,EqualHumNat,Both,YesExtrSure,Neither
1,0,,,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,,,YesVerySure,,Somewhat,,,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,NatHum,Somewhat,DK,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,DK,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,DK,YesExtrSure,StronglyAgree
1,0,,,,,,,,,,,,,,,,
1,0,Neither,SomewhatAgree,YesExtrSure,HumNat,Somewhat,,,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,NatHum,Somewhat,Humans,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,,,,,Very,,,Very,StronglyAgree,SomewhatAgree,SomewhatAgree,ALot,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,0,Neither,Neither,YesSomeSure,HumNat,Somewhat,,Little,,,,,,,,,
1,0,SomewhatDisagree,SomewhatAgree,YesVerySure,HumNat,Somewhat,DK,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,DK,ALot,Somewhat,Neither,SomewhatAgree,Neither,Some,EqualHumNat,DK,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,DK,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,NotVery,Humans,Little,Somewhat,SomewhatDisagree,SomewhatDisagree,SomewhatDisagree,Some,HumNat,Both,YesExtrSure,Neither
1,0,SomewhatAgree,StronglyAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,1,Neither,Neither,DK,EqualHumNat,NotVery,DK,Little,NotVery,StronglyDisagree,SomewhatAgree,SomewhatAgree,Little,NatHum,DK,YesSomeSure,Neither
1,1,,,,,,,,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,NoNotSure,Unknowable,Somewhat,Humans,Some,NotVery,Neither,Neither,Neither,Little,NatHum,Humans,NoVerySure,Neither
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Both,ALot,,,,,,,,,
1,1,Neither,SomewhatAgree,YesVerySure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
0,1,,,,,,,,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesSomeSure,NatHum,Somewhat,Both,NotAtAll,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,EqualHumNat,Both,YesSomeSure,Neither
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,NotHappening,Somewhat,Humans,ALot,Neither,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,NotAtAll,HumNat,Natural,YesExtrSure,StronglyAgree
1,1,StronglyAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,,,,,,,,Somewhat,StronglyAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Both,YesExtrSure,SomewhatAgree
0,1,,,,,,,,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Both,Some,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatDisagree,StronglyDisagree,YesExtrSure,NatHum,Very,Both,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Neither,Both,Some,NotVery,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesSomeSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,NatHum,DK,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,0,,,NoNotSure,,,,,,,,,,,,,
1,1,,,NoNotSure,,,,,Neither,StronglyAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,Humans,YesSomeSure,SomewhatAgree
1,0,SomewhatAgree,Neither,YesSomeSure,HumNat,Somewhat,Both,Little,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatDisagree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Both,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,NatHum,Both,YesExtrSure,Neither
1,1,Neither,SomewhatAgree,YesVerySure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
1,0,SomewhatAgree,SomewhatAgree,YesNotSure,HumNat,NotVery,Humans,Little,,,,,,,,,
1,0,SomewhatAgree,DK,YesSomeSure,EqualHumNat,Neither,Both,Little,,,,,,,,,
1,0,Neither,SomewhatAgree,YesSomeSure,EqualHumNat,Neither,Both,NotAtAll,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,NatHum,Very,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,ALot,EqualHumNat,Humans,YesExtrSure,SomewhatAgree
1,1,Neither,Neither,YesExtrSure,NatHum,Somewhat,Humans,Little,Neither,Neither,SomewhatAgree,SomewhatAgree,Little,EqualHumNat,Both,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesSomeSure,HumNat,Very,Both,Some,,,,,,,,,
1,1,Neither,Neither,YesNotSure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesSomeSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesSomeSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,EqualHumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesVerySure,SomewhatDisagree
1,0,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,Neither,Neither,YesSomeSure,EqualHumNat,Somewhat,Other,Little,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,Neither,Neither,YesSomeSure,HumNat,Somewhat,Humans,Some,,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,NotAtAll,Humans,Some,NotVery,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Both,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,DK,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,EqualHumNat,Somewhat,DK,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Both,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesSomeSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Little,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,SomewhatDisagree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,DK,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Neither,Both,NotAtAll,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,NotAtAll,EqualHumNat,Both,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Very,DK,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,DK,YesVerySure,SomewhatAgree
1,1,StronglyDisagree,SomewhatDisagree,YesExtrSure,HumNat,Somewhat,NoConsensus,Some,Somewhat,DK,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,DK,YesExtrSure,Neither
1,1,StronglyAgree,StronglyAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,NoConsensus,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,DK,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,NatHum,Somewhat,NoConsensus,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,,Somewhat,Humans,Some,,,,,,,,,
1,0,Neither,Neither,DK,Unknowable,Neither,NoConsensus,NotAtAll,,,,,,,,,